3q1rk1/3bppb1/p2p1np1/1p1N4/4P2Q/1N5R/r5PP/2B2RK1 b - - 1 20,f8e8 d5f6 e7f6 h4h7 g8f8 c1h6 f8e7 h6g7 d8b6 g1h1,2526,advantage defensiveMove kingsideAttack middlegame veryLong
1r1q2k1/p1p2r1p/1pBp4/3P1p2/3bnQ1N/7P/PP6/4RR1K b - - 1 25,f7g7 h4f5 e4g3 f5g3 d4e5 e1e5,1488,advantage fork long middlegame
5rk1/4p3/pp1p2pp/2pN4/P1Pb2q1/3B4/1PQR1rPP/3R3K w - - 8 29,d1g1 g4g2 g1g2 f2f1 d3f1 f8f1 g2g1 f1g1,2098,kingsideAttack mate mateIn4 middlegame sacrifice veryLong
8/p6p/2kP4/2P2p2/3B1P2/8/6PP/4n1K1 w - - 2 35,g2g3 e1f3 g1f2 f3d4,681,crushing endgame fork short
rnbqk2r/p4ppp/1ppbpn2/6N1/2B1N3/5Q2/PPPP2PP/R1B2RK1 b kq - 1 9,f6e4 f3f7,796,attackingF2F7 mate mateIn1 oneMove opening
4r1k1/3q1p2/p1nb1n1Q/3p4/P1pP4/1pP2NNP/1P3PP1/1R4K1 b - - 0 25,f6h7 f3g5 h7f6 h6f6 d6g3 f2g3,2532,crushing long middlegame
8/6k1/8/1RN4p/p7/P5PK/1P4P1/4r3 w - - 1 40,c5a4 e1h1,399,endgame mate mateIn1 oneMove
4r1k1/1p1Q1ppp/3p4/3P4/3b4/3n1RB1/P3q1PP/R6K b - - 3 25,d4a1 d7f7 g8h8 f7f8 e8f8 f3f8,1474,backRankMate long mate mateIn3 middlegame sacrifice
1k3r2/8/pnp5/1p1pP3/3P2B1/BPP5/P1bb4/K6R w - - 8 42,a3f8 d2c3,890,doubleBishopMate endgame mate mateIn1 oneMove
4q2r/1Q3pk1/p5p1/3p2P1/3N4/P1P5/KP6/8 b - - 0 42,e8d8 d4e6 g7g8 e6d8,1045,crushing endgame interference pin short
6k1/p6p/5ppP/4p3/Q7/5P2/3p2PK/2q5 b - - 2 43,d2d1q a4e8,857,endgame mate mateIn1 oneMove queenEndgame
